iter	Logloss
0	0.630892189
1	0.5670049561
2	0.5229576377
3	0.4859566707
4	0.4621454717
5	0.4342303408
6	0.4086153824
7	0.3858591391
8	0.3561362742
9	0.3393189423
10	0.3248004801
11	0.3068304864
12	0.289580931
13	0.2775055542
14	0.2687280318
15	0.2607287954
16	0.2549941173
17	0.2480265554
18	0.2390987007
19	0.2315151963
20	0.2234382736
21	0.2163629096
22	0.2122683297
23	0.2023229624
24	0.1978768981
25	0.1913983276
26	0.1867514755
27	0.1828644397
28	0.1777981512
29	0.1744526081
30	0.1709319653
31	0.1640248906
32	0.1605228993
33	0.1569839357
34	0.1528754175
35	0.1472027912
36	0.1440817699
37	0.1404872423
38	0.1371845933
39	0.1340813171
40	0.131122315
41	0.1286319222
42	0.12439682
43	0.1210855722
44	0.1183126205
45	0.1144905465
46	0.1106558816
47	0.1080042843
48	0.1049236855
49	0.1037260972
50	0.1014335332
51	0.09772642785
52	0.09530996881
53	0.09284442035
54	0.09174064079
55	0.09003662543
56	0.08781066348
57	0.08496102131
58	0.08260913588
59	0.08139050811
60	0.08003543072
61	0.07887476288
62	0.07798955701
63	0.07664301292
64	0.07554440983
65	0.07426587812
66	0.07240772783
67	0.07053312467
68	0.06874481984
69	0.06712304272
70	0.0645097341
71	0.06355591443
72	0.06179892989
73	0.06090522365
74	0.05934823219
75	0.05802574896
76	0.05694296966
77	0.056311836
78	0.0555554977
79	0.05428912299
80	0.05267254953
81	0.05166790761
82	0.05051342385
83	0.04936603998
84	0.04822259295
85	0.047651913
86	0.04648195308
87	0.04602576754
88	0.04567084666
89	0.04481708161
90	0.04375570845
91	0.04224329912
92	0.04163215527
93	0.04061003227
94	0.03992264455
95	0.03911778396
96	0.03869029786
97	0.03761947866
98	0.03654258922
99	0.03615994366
